Date,Close,High,Low,Open,Volume
,SPARC.NS,SPARC.NS,SPARC.NS,SPARC.NS,SPARC.NS
2017-10-17,367.8500061035156,374.79998779296875,365.5,370.3999938964844,252683
2017-10-18,363.79998779296875,372.8999938964844,360.1000061035156,368.0,165053
2017-10-19,365.25,369.0,341.95001220703125,366.6000061035156,61741
2017-10-23,355.0,369.0,354.0,363.20001220703125,190670
2017-10-24,356.1000061035156,364.8500061035156,354.0,358.3999938964844,292708
2017-10-25,356.25,362.20001220703125,354.45001220703125,358.0,146302
2017-10-26,354.79998779296875,368.6499938964844,353.1000061035156,357.25,368799
2017-10-27,380.79998779296875,386.6000061035156,355.8500061035156,357.6000061035156,1244242
2017-10-30,438.04998779296875,446.0,355.0,358.0,3912045
2017-10-31,419.8500061035156,432.5,415.20001220703125,430.0,1334410
2017-11-01,411.70001220703125,427.70001220703125,410.20001220703125,422.0,404093
2017-11-02,419.3999938964844,440.8999938964844,411.70001220703125,411.70001220703125,1460781
2017-11-03,412.54998779296875,424.0,410.20001220703125,419.0,331118
2017-11-06,411.04998779296875,419.79998779296875,407.8500061035156,410.0,273561
2017-11-07,398.8999938964844,424.29998779296875,396.25,411.8999938964844,382070
2017-11-08,401.54998779296875,412.6000061035156,398.0,401.25,261592
2017-11-09,410.1499938964844,414.70001220703125,404.8999938964844,404.8999938964844,306152
2017-11-10,401.3500061035156,409.70001220703125,398.5,406.04998779296875,176941
2017-11-13,409.79998779296875,424.0,397.0,402.0,524813
2017-11-14,406.1499938964844,419.0,404.0,412.04998779296875,464947
2017-11-15,395.79998779296875,409.0,392.0,407.3500061035156,239175
2017-11-16,391.3999938964844,400.45001220703125,390.0,399.0,198086
2017-11-17,392.1000061035156,403.29998779296875,390.04998779296875,395.0,266708
2017-11-20,393.20001220703125,398.45001220703125,391.95001220703125,394.0,85084
2017-11-21,405.25,412.70001220703125,393.45001220703125,395.0,607571
2017-11-22,417.79998779296875,424.0,398.5,405.0,882901
2017-11-23,422.3999938964844,426.0,416.29998779296875,419.0,442860
2017-11-24,426.1499938964844,432.6000061035156,421.0,423.0,446864
2017-11-27,424.5,431.3999938964844,420.1499938964844,422.0,240549
2017-11-28,445.45001220703125,456.3999938964844,422.5,425.0,1887184
2017-11-29,436.45001220703125,451.8999938964844,435.0,441.0,411002
2017-11-30,429.6499938964844,437.3500061035156,427.0,433.0,167178
2017-12-01,443.5,449.0,432.8500061035156,432.8999938964844,664723
2017-12-04,440.95001220703125,463.70001220703125,437.6000061035156,444.0,959519
2017-12-05,437.70001220703125,446.0,432.0,443.0,207179
2017-12-06,434.25,448.5,430.25,437.0,323527
2017-12-07,433.75,443.0,427.29998779296875,434.04998779296875,191640
2017-12-08,444.6000061035156,448.0,433.0,433.0,359735
2017-12-11,465.6000061035156,472.8999938964844,442.0,446.1000061035156,999772
2017-12-12,455.6499938964844,474.0,452.75,464.6499938964844,506499
2017-12-13,448.25,465.0,444.0,456.0,279342
2017-12-14,437.70001220703125,452.3999938964844,429.0,449.8999938964844,268775
2017-12-15,445.8999938964844,456.3999938964844,441.25,443.0,342692
2017-12-18,440.6499938964844,450.8999938964844,426.5,438.0,216684
2017-12-19,445.25,451.8999938964844,440.0,443.79998779296875,209176
2017-12-20,440.95001220703125,449.79998779296875,440.0,446.3500061035156,168350
2017-12-21,448.95001220703125,457.8999938964844,442.0,444.0,408516
2017-12-22,446.0,452.25,442.5,449.0,103408
2017-12-26,464.1499938964844,474.0,444.3999938964844,446.0,989718
2017-12-27,501.1499938964844,512.0,462.04998779296875,463.20001220703125,2645890
2017-12-28,512.9000244140625,527.0,493.1499938964844,496.79998779296875,2064315
2017-12-29,507.70001220703125,517.5499877929688,506.0,514.7000122070312,456988
2018-01-01,500.25,516.0,495.54998779296875,510.75,315612
2018-01-02,490.95001220703125,503.8999938964844,484.29998779296875,503.8999938964844,283160
2018-01-03,500.29998779296875,506.1000061035156,492.20001220703125,492.20001220703125,356522
2018-01-04,509.6000061035156,514.0,496.5,503.0,453297
2018-01-05,508.1499938964844,516.0,505.0,511.0,227451
2018-01-08,513.3499755859375,526.5499877929688,510.25,511.0,504217
2018-01-09,507.8999938964844,515.2999877929688,504.8999938964844,513.0,182187
2018-01-10,503.04998779296875,514.0,499.45001220703125,508.0,164724
2018-01-11,509.6499938964844,521.0,498.0,501.0,346480
2018-01-12,516.0499877929688,532.0,505.1000061035156,513.6500244140625,887077
2018-01-15,519.3499755859375,527.2999877929688,516.0,519.6500244140625,327155
2018-01-16,507.6499938964844,525.0,502.6000061035156,523.4000244140625,291886
2018-01-17,508.79998779296875,515.25,493.0,512.0,240036
2018-01-18,494.8999938964844,522.9500122070312,489.0,512.0,435908
2018-01-19,496.8500061035156,504.1000061035156,488.3999938964844,497.75,196774
2018-01-22,501.70001220703125,507.20001220703125,494.5,501.0,165272
2018-01-23,496.3500061035156,506.3999938964844,491.0,503.0,171926
2018-01-24,499.8500061035156,513.2000122070312,490.1000061035156,496.3500061035156,432445
2018-01-25,498.3500061035156,512.4000244140625,492.8500061035156,500.0,280774
2018-01-29,476.70001220703125,504.54998779296875,473.0,500.45001220703125,519467
2018-01-30,466.3999938964844,475.54998779296875,452.6000061035156,474.0,297695
2018-01-31,453.29998779296875,475.25,450.20001220703125,468.0,170013
2018-02-01,454.3500061035156,462.54998779296875,442.04998779296875,457.8999938964844,156685
2018-02-02,420.95001220703125,458.0,417.5,448.0,334437
2018-02-05,416.20001220703125,431.04998779296875,406.3999938964844,415.0,267606
2018-02-06,406.0,412.0,390.0,395.0,404440
2018-02-07,407.5,415.95001220703125,401.5,412.1000061035156,148860
2018-02-08,432.04998779296875,434.3999938964844,403.29998779296875,406.0,375707
2018-02-09,440.25,447.8999938964844,416.3500061035156,425.95001220703125,318748
2018-02-12,446.8500061035156,460.5,438.04998779296875,441.29998779296875,288712
2018-02-14,450.5,464.6499938964844,447.0,450.1000061035156,343791
2018-02-15,434.8999938964844,457.25,433.29998779296875,452.0,166282
2018-02-16,424.1000061035156,442.54998779296875,420.6000061035156,438.70001220703125,154321
2018-02-19,440.79998779296875,443.3500061035156,413.0,424.25,283247
2018-02-20,428.6000061035156,444.5,425.0,439.29998779296875,166493
2018-02-21,419.6499938964844,437.0,408.20001220703125,432.3999938964844,314702
2018-02-22,432.29998779296875,437.0,417.0,420.8999938964844,263652
2018-02-23,458.0,490.0,435.5,435.5,2922829
2018-02-26,438.1000061035156,454.79998779296875,433.1000061035156,454.70001220703125,546118
2018-02-27,436.45001220703125,447.5,433.0,440.8999938964844,291153
2018-02-28,425.3500061035156,437.79998779296875,422.3500061035156,433.54998779296875,386679
2018-03-01,419.20001220703125,430.6000061035156,416.1000061035156,426.04998779296875,199192
2018-03-05,415.75,430.95001220703125,410.1000061035156,419.20001220703125,524774
2018-03-06,416.5,429.0,413.5,425.54998779296875,406000
2018-03-07,410.25,414.0,408.1000061035156,413.0,234743
2018-03-08,409.75,418.0,404.29998779296875,412.1000061035156,223934
2018-03-09,405.0,416.20001220703125,401.95001220703125,410.1000061035156,229591
2018-03-12,408.8500061035156,413.1000061035156,401.0,408.20001220703125,208876
2018-03-13,411.25,418.0,408.54998779296875,408.8500061035156,196832
2018-03-14,409.45001220703125,413.95001220703125,408.0,411.5,92742
2018-03-15,410.6000061035156,413.79998779296875,408.20001220703125,410.1000061035156,124317
2018-03-16,398.20001220703125,413.0,395.75,410.6000061035156,173213
2018-03-19,394.1000061035156,401.45001220703125,389.25,400.8999938964844,359478
2018-03-20,391.29998779296875,401.79998779296875,387.1000061035156,391.0,164699
2018-03-21,389.70001220703125,398.0,388.0,394.0,107055
2018-03-22,390.29998779296875,399.04998779296875,386.75,395.0,219867
2018-03-23,383.75,387.75,375.0,381.0,173898
2018-03-26,390.8999938964844,396.45001220703125,373.29998779296875,384.5,199410
2018-03-27,389.3999938964844,397.8999938964844,388.0,395.0,148964
2018-03-28,377.3500061035156,388.0,376.0,388.0,102916
2018-04-02,382.95001220703125,386.3999938964844,375.0,380.0,118458
2018-04-03,390.75,392.3999938964844,379.95001220703125,380.0,121922
2018-04-04,381.6000061035156,395.95001220703125,380.20001220703125,393.0,118961
2018-04-05,388.3500061035156,393.3500061035156,383.1000061035156,387.29998779296875,97904
2018-04-06,402.45001220703125,406.1499938964844,387.79998779296875,391.6000061035156,324488
2018-04-09,400.29998779296875,407.8999938964844,397.1000061035156,401.0,133890
2018-04-10,395.75,404.45001220703125,392.70001220703125,401.0,81901
2018-04-11,428.6000061035156,433.79998779296875,396.0,399.20001220703125,1164443
2018-04-12,415.0,426.79998779296875,412.1000061035156,426.79998779296875,293458
2018-04-13,412.8999938964844,424.3999938964844,410.79998779296875,415.04998779296875,289780
2018-04-16,413.25,420.0,407.20001220703125,412.0,165135
2018-04-17,418.45001220703125,421.70001220703125,408.0,415.8999938964844,140271
2018-04-18,415.75,425.0,412.1000061035156,416.54998779296875,288760
2018-04-19,416.79998779296875,423.8999938964844,413.79998779296875,417.0,139235
2018-04-20,413.1000061035156,419.0,411.29998779296875,417.04998779296875,67532
2018-04-23,423.29998779296875,431.6000061035156,411.29998779296875,411.29998779296875,410066
2018-04-24,426.29998779296875,437.79998779296875,421.1499938964844,426.45001220703125,798957
2018-04-25,416.25,429.3999938964844,415.1000061035156,427.0,125507
2018-04-26,416.6000061035156,423.0,415.1000061035156,417.25,102905
2018-04-27,418.45001220703125,428.0,415.1000061035156,417.29998779296875,226099
2018-04-30,422.45001220703125,428.3999938964844,416.5,420.5,210398
2018-05-02,412.6499938964844,426.79998779296875,408.95001220703125,420.0,137324
2018-05-03,424.20001220703125,427.0,403.1000061035156,415.0,548243
2018-05-04,409.8999938964844,421.1000061035156,408.1000061035156,421.0,172525
2018-05-07,414.29998779296875,418.79998779296875,405.0,411.25,244586
2018-05-08,409.5,418.0,406.1000061035156,415.20001220703125,154971
2018-05-09,415.3999938964844,419.6000061035156,391.25,400.0,582092
2018-05-10,405.75,414.0,403.75,413.0,99357
2018-05-11,394.75,408.70001220703125,390.54998779296875,406.6000061035156,173246
2018-05-14,390.29998779296875,402.5,387.3999938964844,395.25,121272
2018-05-15,377.75,397.0,375.0,393.0,102788
2018-05-16,378.79998779296875,384.0,370.1000061035156,373.04998779296875,119135
2018-05-17,385.45001220703125,389.8500061035156,379.0,379.0,113513
2018-05-18,375.75,393.0,373.0,388.5,139083
2018-05-21,353.75,378.0,351.0,373.8999938964844,152885
2018-05-22,361.70001220703125,364.3500061035156,343.0,354.0,134140
2018-05-23,359.75,368.0,356.0,359.8500061035156,85878
2018-05-24,356.04998779296875,365.95001220703125,353.6499938964844,359.04998779296875,124475
2018-05-25,359.20001220703125,362.5,350.20001220703125,357.70001220703125,159831
2018-05-28,389.79998779296875,397.70001220703125,366.1000061035156,368.5,1100049
2018-05-29,392.20001220703125,397.79998779296875,382.29998779296875,392.8500061035156,257834
2018-05-30,405.0,409.79998779296875,385.20001220703125,389.0,596875
2018-05-31,407.6000061035156,410.0,396.20001220703125,406.0,268918
2018-06-01,392.1000061035156,408.0,387.0,405.0,183486
2018-06-04,377.1000061035156,395.04998779296875,376.0,394.0,124011
2018-06-05,362.20001220703125,385.0,360.5,380.5,869819
2018-06-06,370.79998779296875,372.6000061035156,360.1000061035156,366.5,124364
2018-06-07,371.79998779296875,379.25,370.5,372.0,78558
2018-06-08,415.54998779296875,424.0,370.70001220703125,373.45001220703125,3159706
2018-06-11,415.25,428.0,411.0,413.3500061035156,1439256
2018-06-12,415.25,422.3999938964844,411.04998779296875,415.70001220703125,459542
2018-06-13,416.25,438.0,414.0,431.25,1580369
2018-06-14,420.25,422.70001220703125,409.0,413.04998779296875,727499
2018-06-15,416.3999938964844,432.95001220703125,413.0,421.3500061035156,1158522
2018-06-18,410.79998779296875,421.79998779296875,406.54998779296875,417.8999938964844,401896
2018-06-19,403.6000061035156,414.75,402.70001220703125,413.8999938964844,318125
2018-06-20,403.70001220703125,409.5,400.04998779296875,404.5,170251
2018-06-21,385.75,405.8999938964844,384.0,405.0,289507
2018-06-22,397.29998779296875,398.8999938964844,380.3999938964844,384.6000061035156,466452
2018-06-25,388.8500061035156,407.0,385.1499938964844,395.0,734393
2018-06-26,377.8500061035156,389.79998779296875,376.1000061035156,388.70001220703125,333466
2018-06-27,370.25,385.79998779296875,363.6000061035156,378.95001220703125,341525
2018-06-28,366.29998779296875,374.45001220703125,364.6000061035156,371.0,193783
2018-06-29,371.25,374.79998779296875,366.3999938964844,368.1000061035156,137276
2018-07-02,364.6000061035156,374.8999938964844,363.1000061035156,372.04998779296875,174617
2018-07-03,384.20001220703125,388.0,360.95001220703125,365.8999938964844,517924
2018-07-04,381.45001220703125,392.0,378.1499938964844,385.5,373181
2018-07-05,380.79998779296875,385.70001220703125,377.45001220703125,383.75,260196
2018-07-06,375.45001220703125,383.79998779296875,374.29998779296875,380.0,113920
2018-07-09,381.45001220703125,387.6000061035156,377.0,377.0,189664
2018-07-10,380.8500061035156,384.20001220703125,378.04998779296875,383.6000061035156,123233
2018-07-11,382.70001220703125,389.5,378.29998779296875,381.0,223292
2018-07-12,381.29998779296875,390.3500061035156,378.0,385.54998779296875,184896
2018-07-13,372.54998779296875,383.45001220703125,371.25,380.5,109252
2018-07-16,358.3500061035156,375.0,357.0,375.0,126363
